,Energy,dG/de1,dH/de1,alpha
0,1e-05,0.3026457240672631,-0.0909029554922556,0.30036094437617894
1,0.004936072144288576,0.18241328674502705,0.013076673190031392,-0.07168706525369314
2,0.009862144288577153,0.1772139497349468,0.027378751929068468,-0.15449546703302977
3,0.01478821643286573,0.17567385007849567,0.037453308285571224,-0.21319797037997462
4,0.019714288577154307,0.17544142230420615,0.04568245480370841,-0.2603857983121993
5,0.024640360721442885,0.17587530142013397,0.052843747851641094,-0.3004614486795223
6,0.02956643286573146,0.17671084913735918,0.05929779466610648,-0.33556397332465815
7,0.03449250501002004,0.17781655497104093,0.06524476054846423,-0.3669217444859954
8,0.03941857715430862,0.1791161991370063,0.07080944276014274,-0.3953268498399772
9,0.044344649298597195,0.1805637339331395,0.07607546812165013,-0.4213219701682727
10,0.04927072144288577,0.182127873137105,0.08110197344746954,-0.4453023694314838
11,0.05419679358717435,0.18378698072451716,0.08593231290562703,-0.46756474570107387
12,0.05912286573146292,0.18552593220532457,0.09059919270231179,-0.4883370837993914
13,0.0640489378757515,0.1873315937620035,0.09512806042764262,-0.5078057497791783
14,0.06897501002004007,0.18919342598745018,0.09953900070670298,-0.5261229357583795
15,0.07390108216432865,0.19110636333261172,0.1038479015195847,-0.5434036821622851
16,0.07882715430861723,0.19306094923305775,0.10806806855101754,-0.5597614068527178
17,0.0837532264529058,0.19505542014149413,0.11221005613523048,-0.575272689442994
18,0.08867929859719438,0.1970820897107958,0.11628306513598244,-0.5900235039450805
19,0.09360537074148295,0.19914065737457054,0.12029444491288269,-0.6040677303109264
20,0.09853144288577154,0.20122504996782434,0.12425077124729564,-0.6174716878796312
21,0.10345751503006011,0.20333454074104368,0.12815741198183478,-0.6302786113700644
22,0.10838358717434869,0.20546669315968594,0.13201906973948008,-0.6425327030346307
23,0.11330965931863726,0.20761768776318448,0.13583991003067894,-0.6542790813932114
24,0.11823573146292583,0.2097882114667033,0.1396233479891519,-0.6655442982853798
25,0.12316180360721442,0.21197542456642465,0.14337252843961362,-0.6763639168685159
26,0.12808787575150302,0.21417694950452046,0.14709021123732743,-0.6867695687029239
27,0.13301394789579157,0.21639349793148122,0.1507787008174647,-0.6967801817465293
28,0.13794002004008016,0.21862338373093626,0.15444012852570485,-0.7064209047087895
29,0.14286609218436874,0.2208639917750838,0.15807643135585905,-0.7157184386888911
30,0.14779216432865733,0.22311584638019033,0.16168922428575527,-0.7246873178619333
31,0.15271823647294588,0.22537868158045476,0.1652799716866747,-0.7333434135281056
32,0.15764430861723447,0.22765056448588153,0.16885003997387119,-0.7417070998931916
33,0.16257038076152305,0.22993017813658997,0.1724006416328613,-0.7497956250459944
34,0.1674964529058116,0.23221809269935842,0.17593280895010324,-0.757618869852122
35,0.1724225250501002,0.23451403298644397,0.17944749218664793,-0.7651887177131991
